DATE,TIME,EVENT,ADDRESS,LOCATION,Latitude,Longitude
9/8/2022,11:26:43 AM,FIRE ALARM,580 PORTOLA PZ,BOELTER HALL,34.0691503,-118.4427673
9/8/2022,8:20:16 AM,FIRE ALARM,100 MEDICAL PZ,MEDICAL PLAZA 100 MANOUKIAN MEDICAL BLDG,34.0654341,-118.4456849
9/7/2022,9:15:19 PM,FIRE ALARM,757 WESTWOOD PZ,RONALD REAGAN UCLA MEDICAL CENTER,34.0664764,-118.4465738
9/7/2022,4:46:44 PM,FIRE ALARM,610 CHARLES E YOUNG DR E,TERASAKI LIFE SCIENCES BUILDING,34.0685617,-118.4403265
9/7/2022,6:41:38 AM,FIRE ALARM,351 CHARLES E YOUNG DR W,DE NEVE PLAZA,34.0704055,-118.4501706
9/6/2022,12:46:41 PM,FIRE ALARM,607 CHARLES E YOUNG DR E,YOUNG HALL,34.0688448,-118.4412088
9/4/2022,3:51:10 PM,FIRE ALARM,410 CHARLES E YOUNG DR E,MURPHY HALL,34.0716091,-118.4387084
9/4/2022,3:01:06 PM,FIRE ALARM,607 CHARLES E YOUNG DR E,YOUNG HALL,34.0688448,-118.4412088
9/2/2022,3:17:40 PM,FIRE ALARM,607 CHARLES E YOUNG DR E,YOUNG HALL,34.0688448,-118.4412088
9/2/2022,2:36:55 PM,FIRE ALARM,240 CHARLES E YOUNG DR N,BROAD ART CENTER,34.075885,-118.4409969
9/2/2022,11:05:59 AM,FIRE ALARM,610 CHARLES E YOUNG DR E,TERASAKI LIFE SCIENCES BUILDING,34.0685617,-118.4403265
9/1/2022,5:41:50 PM,FIRE ALARM,635 CHARLES E YOUNG DR S,NEUROSCIENCE RESEARCH BUILDING,34.0674153,-118.443463
9/1/2022,9:01:09 AM,FIRE ALARM,330 DE NEVE DR,COVEL COMMONS,34.0729953,-118.4499786
9/1/2022,6:37:05 AM,FIRE ALARM,330 DE NEVE DR,COVEL COMMONS,34.0729953,-118.4499786
9/1/2022,2:11:13 AM,FIRE ALARM,330 DE NEVE DR,COVEL COMMONS,34.0729953,-118.4499786
8/31/2022,6:27:53 PM,FIRE ALARM,757 WESTWOOD PZ,RONALD REAGAN UCLA MEDICAL CENTER,34.0664764,-118.4465738
8/31/2022,8:10:20 AM,FIRE ALARM,555 GLENROCK AVE,GLENROCK WEST APARTMENTS,34.0666857,-118.4512206
8/30/2022,1:37:58 PM,FIRE ALARM,714 TIVERTON AVE,SCHOOL OF DENTISTRY,34.0660174,-118.4418704
8/30/2022,12:32:22 PM,FIRE ALARM,765 WEYBURN TER,MAGNOLIA COURT,34.0637379,-118.450633
8/29/2022,5:45:00 PM,FIRE ALARM,520 PORTOLA PZ,MATHEMATICAL SCIENCES BUILDING,34.0695771,-118.4427578
8/29/2022,8:56:43 AM,FIRE ALARM,502 PORTOLA PZ,FRANZ HALL,34.0696422,-118.4412792
